species label;genus label;family label;species;genus;family;classid
344;154;40;Lindernia crustacea (L.) F.Muell.;Lindernia;Linderniaceae;186582
345;155;41;Lindsaea divaricata Klotzsch;Lindsaea;Lindsaeaceae;186696
346;155;41;Lindsaea guianensis (Aubl.) Dryand.;Lindsaea;Lindsaeaceae;186704
347;155;41;Lindsaea lancea (L.) Bedd.;Lindsaea;Lindsaeaceae;186714
348;155;41;Lindsaea quadrangularis Raddi;Lindsaea;Lindsaeaceae;186746
349;155;41;Lindsaea stricta (Sw.) Dryand.;Lindsaea;Lindsaeaceae;186757
350;156;42;Spigelia anthelmia L.;Spigelia;Loganiaceae;187279
351;156;42;Spigelia hamelioides Kunth;Spigelia;Loganiaceae;187306
352;157;42;Strychnos cayennensis Krukoff & Barneby;Strychnos;Loganiaceae;187390
353;157;42;Strychnos tomentosa Benth.;Strychnos;Loganiaceae;187515
354;158;43;Cladocolea micrantha (Eichler) Kuijt;Cladocolea;Loranthaceae;187824
355;159;44;Huperzia taxifolia (Sw.) Trevis.;Huperzia;Lycopodiaceae;188837
356;160;45;Lygodium venustum Sw.;Lygodium;Lygodiaceae;189086
357;160;45;Lygodium volubile Sw.;Lygodium;Lygodiaceae;189087
358;161;46;Cuphea carthagenensis (Jacq.) J.F.Macbr.;Cuphea;Lythraceae;189172
359;162;46;Lafoensia vandelliana Cham. & Schltdl.;Lafoensia;Lythraceae;189532
360;163;46;Lagerstroemia speciosa (L.) Pers.;Lagerstroemia;Lythraceae;189549
361;164;46;Punica granatum L.;Punica;Lythraceae;189669
362;165;47;Bunchosia argentea (Jacq.) DC.;Bunchosia;Malpighiaceae;190183
363;166;47;Byrsonima christianeae W.R.Anderson;Byrsonima;Malpighiaceae;190287
364;167;48;Abelmoschus moschatus Medik.;Abelmoschus;Malvaceae;191373
365;168;48;Adansonia digitata L.;Adansonia;Malvaceae;191642
366;169;49;Allamanda cathartica L.;Allamanda;Apocynaceae;19165
367;170;48;Apeiba tibourbou Aubl.;Apeiba;Malvaceae;191839
368;171;48;Byttneria cordifolia Sagot;Byttneria;Malvaceae;192142
369;172;48;Catostemma fragrans Benth.;Catostemma;Malvaceae;192285
370;173;48;Ceiba pentandra (L.) Gaertn.;Ceiba;Malvaceae;192311
371;174;48;Gossypium barbadense L.;Gossypium;Malvaceae;193141
372;175;49;Ambelania acida Aubl.;Ambelania;Apocynaceae;19341
373;176;48;Guazuma ulmifolia Lam.;Guazuma;Malvaceae;193515
374;177;48;Helicteres pentandra L.;Helicteres;Malvaceae;193600
375;178;48;Hibiscus furcellatus Desr.;Hibiscus;Malvaceae;193927
376;178;48;Hibiscus rosa-sinensis L.;Hibiscus;Malvaceae;194035
377;179;48;Huberodendron swietenioides (Gleason) Ducke;Huberodendron;Malvaceae;194115
378;180;48;Lueheopsis rugosa (Pulle) Burret;Lueheopsis;Malvaceae;194252
379;181;48;Ochroma pyramidale (Cav. ex Lam.) Urb.;Ochroma;Malvaceae;194701
380;182;48;Pachira dolichocalyx A. Robyns;Pachira;Malvaceae;194716
381;183;49;Asclepias curassavica L.;Asclepias;Apocynaceae;19489
382;184;48;Quararibea duckei Huber;Quararibea;Malvaceae;195192
383;184;48;Quararibea guianensis Aubl.;Quararibea;Malvaceae;195201
384;184;48;Quararibea turbinata (Sw.) Poir.;Quararibea;Malvaceae;195246
385;185;48;Sida rhombifolia L.;Sida;Malvaceae;195454
386;186;48;Sterculia frondosa Rich.;Sterculia;Malvaceae;195628
387;186;48;Sterculia pruriens (Aubl.) K.Schum.;Sterculia;Malvaceae;195663
388;186;48;Sterculia villifera Steud.;Sterculia;Malvaceae;195688
389;187;48;Theobroma cacao L.;Theobroma;Malvaceae;195752
390;187;48;Theobroma subincanum Mart.;Theobroma;Malvaceae;195768
391;187;48;Theobroma velutinum Benoist;Theobroma;Malvaceae;195770
392;188;50;Maranta rupicola L.Andersson;Maranta;Marantaceae;196487
393;189;51;Danaea nodosa (L.) Sm.;Danaea;Marattiaceae;196781
394;189;51;Danaea simplicifolia Rudge;Danaea;Marattiaceae;196785
395;190;52;Marcgravia pedunculosa Triana & Planch.;Marcgravia;Marcgraviaceae;196866
396;191;52;Norantea guianensis Aubl.;Norantea;Marcgraviaceae;196912
397;192;52;Souroubea guianensis Aubl.;Souroubea;Marcgraviaceae;196966
398;193;49;Aspidosperma sandwithianum Markgr.;Aspidosperma;Apocynaceae;19758
399;194;53;Aciotis indecora (Bonpl.) Triana;Aciotis;Melastomataceae;197755
400;194;53;Aciotis purpurascens (Aubl.) Triana;Aciotis;Melastomataceae;197761
401;195;53;Adelobotrys adscendens (Sw.) Triana;Adelobotrys;Melastomataceae;197791
402;196;53;Appendicularia thymifolia (Bonpl.) DC.;Appendicularia;Melastomataceae;197861
403;197;53;Bellucia grossularioides (L.) Triana;Bellucia;Melastomataceae;197919
404;198;53;Clidemia conglomerata DC.;Clidemia;Melastomataceae;198260
405;198;53;Clidemia hirta (L.) D. Don;Clidemia;Melastomataceae;198307
406;198;53;Clidemia laevifolia Gleason;Clidemia;Melastomataceae;198315
407;198;53;Clidemia petiolata DC.;Clidemia;Melastomataceae;198341
408;198;53;Clidemia septuplinervia Cogn.;Clidemia;Melastomataceae;198363
409;199;53;Comolia villosa (Aubl.) Triana;Comolia;Melastomataceae;198419
410;200;53;Desmoscelis villosa (Aubl.) Naudin;Desmoscelis;Melastomataceae;198471
411;201;53;Ernestia confertiflora Wurdack;Ernestia;Melastomataceae;198555
412;201;53;Ernestia glandulosa Gleason;Ernestia;Melastomataceae;198557
413;202;53;Henriettea succosa (Aubl.) DC.;Henriettea;Melastomataceae;198802
414;203;53;Henriettella flavescens (Aubl.) Triana;Henriettella;Melastomataceae;198819
415;204;49;Blepharodon pictum (Vahl) W.D.Stevens;Blepharodon;Apocynaceae;19887
416;205;53;Leandra divaricata (Naudin) Cogn.;Leandra;Melastomataceae;198971
417;205;53;Leandra rufescens (DC.) Cogn.;Leandra;Melastomataceae;199099
418;205;53;Leandra solenifera Cogn.;Leandra;Melastomataceae;199111
419;206;53;Loreya mespiloides Miq.;Loreya;Melastomataceae;199158
420;207;53;Macrocentrum cristatum (DC.) Triana;Macrocentrum;Melastomataceae;199197
421;208;53;Maieta guianensis Aubl.;Maieta;Melastomataceae;199220
422;209;53;Miconia acuminata (Steud.) Naudin;Miconia;Melastomataceae;199580
423;209;53;Miconia affinis DC.;Miconia;Melastomataceae;199587
424;209;53;Miconia alata (Aubl.) DC.;Miconia;Melastomataceae;199591
425;209;53;Miconia argyrophylla DC.;Miconia;Melastomataceae;199627
426;209;53;Miconia bracteata (DC.) Triana;Miconia;Melastomataceae;199672
427;209;53;Miconia ceramicarpa (DC.) Cogn.;Miconia;Melastomataceae;199728
428;209;53;Miconia chrysophylla (Rich.) Urb.;Miconia;Melastomataceae;199742
429;209;53;Miconia ciliata (Rich.) DC.;Miconia;Melastomataceae;199744
430;209;53;Miconia diaphanea Gleason;Miconia;Melastomataceae;199810
431;209;53;Miconia egensis Cogn.;Miconia;Melastomataceae;199838
432;209;53;Miconia holosericea (L.) DC.;Miconia;Melastomataceae;199938
433;209;53;Miconia lateriflora Cogn.;Miconia;Melastomataceae;200006
434;209;53;Miconia longifolia (Aubl.) DC.;Miconia;Melastomataceae;200031
435;209;53;Miconia melinonis Naudin;Miconia;Melastomataceae;200075
436;209;53;Miconia minutiflora (Bonpl.) DC.;Miconia;Melastomataceae;200087
437;209;53;Miconia nervosa (Sm.) Triana;Miconia;Melastomataceae;200119
438;209;53;Miconia plukenetii Naudin;Miconia;Melastomataceae;200202
439;209;53;Miconia poeppigii Triana;Miconia;Melastomataceae;200204
440;209;53;Miconia prasina (Sw.) DC.;Miconia;Melastomataceae;200215
441;209;53;Miconia pubipetala Miq.;Miconia;Melastomataceae;200228
442;209;53;Miconia racemosa (Aubl.) DC.;Miconia;Melastomataceae;200249
443;209;53;Miconia serialis DC.;Miconia;Melastomataceae;200319
444;209;53;Miconia serrulata (DC.) Naudin;Miconia;Melastomataceae;200320
445;209;53;Miconia splendens (Sw.) Griseb.;Miconia;Melastomataceae;200338
446;209;53;Miconia tomentosa (Rich.) D. Don ex DC.;Miconia;Melastomataceae;200402
447;210;53;Mouriri collocarpa Ducke;Mouriri;Melastomataceae;200638
448;210;53;Mouriri crassifolia Sagot;Mouriri;Melastomataceae;200640
449;210;53;Mouriri grandiflora DC.;Mouriri;Melastomataceae;200660
450;210;53;Mouriri nervosa Pilg.;Mouriri;Melastomataceae;200676
451;210;53;Mouriri oligantha Pilg.;Mouriri;Melastomataceae;200679
452;210;53;Mouriri sagotiana Triana;Mouriri;Melastomataceae;200692
453;210;53;Mouriri vernicosa Naudin;Mouriri;Melastomataceae;200704
454;211;53;Nepsera aquatica (Aubl.) Naudin;Nepsera;Melastomataceae;200712
455;212;53;Pterolepis glomerata (Rottb.) Miq.;Pterolepis;Melastomataceae;200877
456;213;53;Rhynchanthera grandiflora (Aubl.) DC.;Rhynchanthera;Melastomataceae;200915
457;214;53;Tibouchina aspera Aubl.;Tibouchina;Melastomataceae;201073
458;215;53;Tococa guianensis Aubl.;Tococa;Melastomataceae;201318
459;216;53;Topobea parasitica Aubl.;Topobea;Melastomataceae;201384
460;217;53;Votomita guianensis Aubl.;Votomita;Melastomataceae;201444
461;218;54;Carapa guianensis Aubl.;Carapa;Meliaceae;201652
462;219;54;Cedrela odorata L.;Cedrela;Meliaceae;201678
463;220;54;Guarea guidonia (L.) Sleumer;Guarea;Meliaceae;201893
464;221;54;Swietenia mahagoni (L.) Jacq.;Swietenia;Meliaceae;202049
465;222;54;Trichilia micrantha Benth.;Trichilia;Meliaceae;202107
466;222;54;Trichilia pallida Sw.;Trichilia;Meliaceae;202118
467;222;54;Trichilia schomburgkii C.DC.;Trichilia;Meliaceae;202134
468;223;55;Abuta sandwithiana Krukoff & Barneby;Abuta;Menispermaceae;202271
469;224;56;Metaxya rostrata (Kunth) C. Presl;Metaxya;Metaxyaceae;202825
470;225;57;Brosimum rubescens Taub.;Brosimum;Moraceae;203347
471;226;57;Ficus leiophylla C.C.Berg;Ficus;Moraceae;203918
472;227;58;Justicia betonica L.;Justicia;Acanthaceae;2041
473;226;57;Ficus schumacheri (Liebm.) Griseb.;Ficus;Moraceae;204178
474;226;57;Ficus trigona L.f.;Ficus;Moraceae;204277
475;228;57;Pseudolmedia laevis (Ruiz & Pav.) J.F.Macbr.;Pseudolmedia;Moraceae;204432
476;229;57;Trymatococcus amazonicus Poepp. & Endl.;Trymatococcus;Moraceae;204499
477;230;59;Iryanthera paraensis Huber;Iryanthera;Myristicaceae;204775
478;230;59;Iryanthera sagotiana (Benth.) Warb.;Iryanthera;Myristicaceae;204777
479;231;49;Couma guianensis Aubl.;Couma;Apocynaceae;20515
480;232;60;Calycorectes bergii Sandwith;Calycorectes;Myrtaceae;205170
481;232;60;Calycorectes grandifolius O.Berg;Calycorectes;Myrtaceae;205179
482;233;60;Campomanesia grandiflora (Aubl.) Sagot;Campomanesia;Myrtaceae;205564
483;234;60;Eugenia albicans (O.Berg) Urb.;Eugenia;Myrtaceae;206694
484;234;60;Eugenia anastomosans DC.;Eugenia;Myrtaceae;206710
485;234;60;Eugenia argyrophylla B.Holst & M.L.Kawas.;Eugenia;Myrtaceae;206728
486;234;60;Eugenia armeniaca Sagot;Eugenia;Myrtaceae;206729
487;234;60;Eugenia biflora (L.) DC.;Eugenia;Myrtaceae;206767
488;234;60;Eugenia coffeifolia DC.;Eugenia;Myrtaceae;206874
489;234;60;Eugenia cupulata Amshoff;Eugenia;Myrtaceae;206927
490;234;60;Eugenia florida DC.;Eugenia;Myrtaceae;207009
491;234;60;Eugenia gongylocarpa M.L.Kawas. & B.K.Holst;Eugenia;Myrtaceae;207042
492;227;58;Justicia calycina (Nees) V.A.W.Graham;Justicia;Acanthaceae;2071
493;234;60;Eugenia lambertiana DC.;Eugenia;Myrtaceae;207161
494;234;60;Eugenia latifolia Aubl.;Eugenia;Myrtaceae;207167
495;234;60;Eugenia patrisii Vahl;Eugenia;Myrtaceae;207375
496;234;60;Eugenia pseudopsidium Jacq.;Eugenia;Myrtaceae;207441
497;234;60;Eugenia punicifolia (Kunth) DC.;Eugenia;Myrtaceae;207452
498;234;60;Eugenia ramiflora Desv. ex Ham.;Eugenia;Myrtaceae;207470
499;234;60;Eugenia spruceana O.Berg;Eugenia;Myrtaceae;207575
500;234;60;Eugenia stictopetala DC.;Eugenia;Myrtaceae;207589
501;235;60;Myrcia amazonica DC.;Myrcia;Myrtaceae;208641
502;235;60;Myrcia bracteata (Rich.) DC.;Myrcia;Myrtaceae;208673
503;235;60;Myrcia decorticans DC.;Myrcia;Myrtaceae;208724
504;235;60;Myrcia guianensis (Aubl.) DC.;Myrcia;Myrtaceae;208788
505;235;60;Myrcia multiflora (Lam.) DC.;Myrcia;Myrtaceae;208865
506;235;60;Myrcia rupta M.L.Kawas. & B.K.Holst;Myrcia;Myrtaceae;208949
507;235;60;Myrcia saxatilis (Amshoff) McVaugh;Myrcia;Myrtaceae;208956
508;235;60;Myrcia splendens (Sw.) DC.;Myrcia;Myrtaceae;208971
509;235;60;Myrcia sylvatica (G.Mey.) DC.;Myrcia;Myrtaceae;208994
510;235;60;Myrcia tomentosa (Aubl.) DC.;Myrcia;Myrtaceae;209006
511;236;60;Myrciaria floribunda (H.West ex Willd.) O.Berg;Myrciaria;Myrtaceae;209078
512;237;60;Psidium guajava L.;Psidium;Myrtaceae;209327
513;237;60;Psidium guineense Sw.;Psidium;Myrtaceae;209328
514;238;61;Nephrolepis biserrata (Sw.) Schott;Nephrolepis;Nephrolepidaceae;211059
515;238;61;Nephrolepis rivularis (Vahl) Mett. ex Krug;Nephrolepis;Nephrolepidaceae;211075
516;239;62;Neea floribunda Poepp. & Endl.;Neea;Nyctaginaceae;211519
517;240;63;Elvasia elvasioides (Planch.) Gilg;Elvasia;Ochnaceae;211755
518;240;63;Elvasia macrostipularis Sastre & Lescure;Elvasia;Ochnaceae;211759
519;241;63;Ouratea cerebroidea Sastre;Ouratea;Ochnaceae;211958
520;241;63;Ouratea guianensis Aubl.;Ouratea;Ochnaceae;212012
521;241;63;Ouratea pendula Poepp. ex Engl.;Ouratea;Ochnaceae;212087
522;241;63;Ouratea scottii Sastre;Ouratea;Ochnaceae;212120
523;242;63;Quiina integrifolia Pulle;Quiina;Ochnaceae;212199
524;242;63;Quiina obovata Tul.;Quiina;Ochnaceae;212213
525;243;64;Chaunochiton kappleri (Sagot ex Engl.) Ducke;Chaunochiton;Olacaceae;212342
526;244;64;Heisteria cauliflora Sm.;Heisteria;Olacaceae;212378
527;244;64;Heisteria densifrons Engl.;Heisteria;Olacaceae;212384
528;244;64;Heisteria ovata Benth.;Heisteria;Olacaceae;212395
529;245;64;Minquartia guianensis Aubl.;Minquartia;Olacaceae;212412
530;246;65;Jasminum sambac (L.) Aiton;Jasminum;Oleaceae;212920
531;247;49;Forsteronia acouci (Aubl.) A.DC.;Forsteronia;Apocynaceae;21329
532;248;66;Ludwigia affinis (DC.) H.Hara;Ludwigia;Onagraceae;213809
533;248;66;Ludwigia erecta (L.) H.Hara;Ludwigia;Onagraceae;213831
534;248;66;Ludwigia hyssopifolia (G.Don) Exell;Ludwigia;Onagraceae;213841
535;248;66;Ludwigia leptocarpa (Nutt.) H.Hara;Ludwigia;Onagraceae;213850
536;248;66;Ludwigia nervosa (Poir.) H.Hara;Ludwigia;Onagraceae;213864
537;248;66;Ludwigia octovalvis (Jacq.) P.H.Raven;Ludwigia;Onagraceae;213866
538;249;49;Geissospermum argenteum Woodson;Geissospermum;Apocynaceae;21388
539;249;49;Geissospermum laeve (Vell.) Miers;Geissospermum;Apocynaceae;21391
540;250;67;Agonandra silvatica Ducke;Agonandra;Opiliaceae;214245
541;251;68;Brassia lanceana Lindl.;Brassia;Orchidaceae;216314
542;252;49;Himatanthus articulatus (Vahl) Woodson;Himatanthus;Apocynaceae;21718
543;253;49;Lacmellea aculeata (Ducke) Monach.;Lacmellea;Apocynaceae;21973
544;254;68;Cleistes rosea Lindl.;Cleistes;Orchidaceae;220108
545;255;49;Macoubea guianensis Aubl.;Macoubea;Apocynaceae;22118
546;256;49;Malouetia tamaquarina (Aubl.) A.DC.;Malouetia;Apocynaceae;22180
547;257;49;Mandevilla hirsuta (Rich.) K.Schum.;Mandevilla;Apocynaceae;22256
548;257;49;Mandevilla rugellosa (Rich.) L.Allorge;Mandevilla;Apocynaceae;22319
549;257;49;Mandevilla subspicata (Vahl) Markgr.;Mandevilla;Apocynaceae;22348
550;258;68;Epidendrum nocturnum Jacq.;Epidendrum;Orchidaceae;226017
551;259;68;Ionopsis utricularioides (Sw.) Lindl.;Ionopsis;Orchidaceae;229370
552;260;68;Lepanthes cremersii Luer;Lepanthes;Orchidaceae;229955
553;261;49;Odontadenia puncticulosa (Rich.) Pulle;Odontadenia;Apocynaceae;23107
554;262;68;Masdevallia minuta Lindl.;Masdevallia;Orchidaceae;232112
555;263;49;Parahancornia fasciculata (Poir.) Benoist;Parahancornia;Apocynaceae;23429
556;264;68;Palmorchis prospectorum Veyret;Palmorchis;Orchidaceae;235182
557;265;68;Pleurothallis lanceana Lodd.;Pleurothallis;Orchidaceae;236883
558;265;68;Pleurothallis ruscifolia (Jacq.) R.Br.;Pleurothallis;Orchidaceae;237053
559;266;68;Prescottia stachyodes (Sw.) Lindl.;Prescottia;Orchidaceae;237937
560;227;58;Justicia pectoralis Jacq.;Justicia;Acanthaceae;2401
561;267;68;Trigonidium acuminatum Bateman ex Lindl.;Trigonidium;Orchidaceae;242361
562;268;69;Averrhoa carambola L.;Averrhoa;Oxalidaceae;244705
563;269;49;Tabernaemontana undulata Vahl;Tabernaemontana;Apocynaceae;24557
564;270;70;Piriqueta cistoides (L.) Griseb.;Piriqueta;Passifloraceae;248199
565;271;70;Turnera aurantiaca Benth.;Turnera;Passifloraceae;248283
566;271;70;Turnera guianensis Aubl.;Turnera;Passifloraceae;248325
567;271;70;Turnera odorata Rich.;Turnera;Passifloraceae;248357
568;271;70;Turnera rupestris Aubl.;Turnera;Passifloraceae;248374
569;271;70;Turnera ulmifolia L.;Turnera;Passifloraceae;248392
570;272;71;Sesamum indicum L.;Sesamum;Pedaliaceae;248478
571;273;72;Ternstroemia dentata (Aubl.) Sw.;Ternstroemia;Pentaphylacaceae;248950
572;274;73;Pogonophora schomburgkiana Miers ex Benth.;Pogonophora;Peraceae;249138
573;275;74;Amanoa guianensis Aubl.;Amanoa;Phyllanthaceae;249436
574;276;74;Phyllanthus brasiliensis (Aubl.) Poir.;Phyllanthus;Phyllanthaceae;250534
575;276;74;Phyllanthus urinaria L.;Phyllanthus;Phyllanthaceae;251291
576;277;75;Microtea debilis Sw.;Microtea;Phytolaccaceae;251585
577;278;75;Rivina humilis L.;Rivina;Phytolaccaceae;251624
578;279;76;Peperomia macrostachya (Vahl) A.Dietr.;Peperomia;Piperaceae;252665
579;279;76;Peperomia ouabianae C.DC.;Peperomia;Piperaceae;252779
580;279;76;Peperomia pellucida (L.) Kunth;Peperomia;Piperaceae;252811
581;279;76;Peperomia serpens (Sw.) Loudon;Peperomia;Piperaceae;253046
582;280;76;Piper eucalyptifolium Rudge;Piper;Piperaceae;253695
583;280;76;Piper hostmannianum (Miq.) C.DC.;Piper;Piperaceae;253836
584;280;76;Piper marginatum Jacq.;Piper;Piperaceae;254000
585;280;76;Piper obliquum Ruiz & Pav.;Piper;Piperaceae;254111
586;280;76;Piper peltatum L.;Piper;Piperaceae;254180
587;281;77;Scoparia dulcis L.;Scoparia;Plantaginaceae;256363
588;282;78;Plumbago auriculata Lam.;Plumbago;Plumbaginaceae;257336
589;283;79;Anthurium gracile (Rudge) Lindl.;Anthurium;Araceae;26327
590;283;79;Anthurium jenmanii Engl.;Anthurium;Araceae;26393
591;283;79;Anthurium pentaphyllum (Aubl.) G.Don;Anthurium;Araceae;26635
592;284;80;Mourera fluviatilis Aubl.;Mourera;Podostemaceae;270090
593;285;81;Moutabea guianensis Aubl.;Moutabea;Polygalaceae;270961
594;286;81;Securidaca diversifolia (L.) S.F.Blake;Securidaca;Polygalaceae;271764
595;286;81;Securidaca paniculata Rich.;Securidaca;Polygalaceae;271781
596;287;79;Caladium bicolor (Aiton) Vent.;Caladium;Araceae;27221
597;288;82;Campyloneurum repens (Aubl.) C. Presl;Campyloneurum;Polypodiaceae;273462
598;289;82;Microgramma fuscopunctata (Hook.) Vareschi;Microgramma;Polypodiaceae;274102
599;289;82;Microgramma lycopodioides (L.) Copel.;Microgramma;Polypodiaceae;274108
600;289;82;Microgramma percussa (Cav.) de la Sota;Microgramma;Polypodiaceae;274114
601;289;82;Microgramma reptans (Cav.) A.R. Sm.;Microgramma;Polypodiaceae;274118
602;290;82;Niphidium crassifolium (L.) Lellinger;Niphidium;Polypodiaceae;274257
603;291;79;Dieffenbachia parvifolia Engl.;Dieffenbachia;Araceae;27455
604;291;79;Dieffenbachia seguine (Jacq.) Schott;Dieffenbachia;Araceae;27457
605;292;82;Polypodium triseriale Sw.;Polypodium;Polypodiaceae;274693
606;293;79;Dracontium polyphyllum L.;Dracontium;Araceae;27492
607;294;83;Eichhornia crassipes (Mart.) Solms;Eichhornia;Pontederiaceae;275029
608;295;84;Portulaca grandiflora Hook.;Portulaca;Portulacaceae;275255
609;296;79;Heteropsis flexuosa (Kunth) G.S.Bunting;Heteropsis;Araceae;27569
610;296;79;Heteropsis tenuispadix G.S.Bunting;Heteropsis;Araceae;27581
611;297;85;Clavija lancifolia Desf.;Clavija;Primulaceae;276624
612;298;79;Monstera adansonii Schott;Monstera;Araceae;27760
613;299;79;Montrichardia arborescens (L.) Schott;Montrichardia;Araceae;27803
614;300;86;Panopsis sessilifolia (Rich.) Sandwith;Panopsis;Proteaceae;279396
615;301;86;Roupala montana Aubl.;Roupala;Proteaceae;279552
616;302;87;Acrostichum aureum L.;Acrostichum;Pteridaceae;279730
617;302;87;Acrostichum danaeifolium Langsd. & Fisch.;Acrostichum;Pteridaceae;279732
618;303;87;Adiantum argutum Splitg.;Adiantum;Pteridaceae;279781
619;303;87;Adiantum cajennense Willd. ex Klotzsch;Adiantum;Pteridaceae;279787
620;303;87;Adiantum glaucescens Klotzsch;Adiantum;Pteridaceae;279833
621;303;87;Adiantum latifolium Lam.;Adiantum;Pteridaceae;279848
622;303;87;Adiantum leprieurii Hook.;Adiantum;Pteridaceae;279849
623;303;87;Adiantum lucidum (Cav.) Sw.;Adiantum;Pteridaceae;279853
624;303;87;Adiantum obliquum Willd.;Adiantum;Pteridaceae;279869
625;303;87;Adiantum paraense Hieron.;Adiantum;Pteridaceae;279877
626;303;87;Adiantum petiolatum Desv.;Adiantum;Pteridaceae;279884
627;304;79;Philodendron fragrantissimum (Hook.) G.Don;Philodendron;Araceae;27989
628;303;87;Adiantum pulverulentum L.;Adiantum;Pteridaceae;279895
629;303;87;Adiantum terminatum Kunze ex Miq.;Adiantum;Pteridaceae;279923
630;303;87;Adiantum tetraphyllum Humb. & Bonpl. ex Willd.;Adiantum;Pteridaceae;279924
631;305;87;Anetium citrifolium (L.) Splitg.;Anetium;Pteridaceae;279988
632;306;87;Ceratopteris thalictroides (L.) Brongn.;Ceratopteris;Pteridaceae;280085
633;304;79;Philodendron hederaceum (Jacq.) Schott;Philodendron;Araceae;28014
634;304;79;Philodendron insigne Schott;Philodendron;Araceae;28037
635;304;79;Philodendron linnaei Kunth;Philodendron;Araceae;28066
636;307;87;Pityrogramma calomelanos (L.) Link;Pityrogramma;Pteridaceae;280698
637;308;87;Pteris altissima Poir.;Pteris;Pteridaceae;280745
638;308;87;Pteris pungens Willd.;Pteris;Pteridaceae;280887
639;309;87;Vittaria costata Kunze;Vittaria;Pteridaceae;281000
640;309;87;Vittaria lineata (L.) Sm.;Vittaria;Pteridaceae;281017
641;304;79;Philodendron ornatum Schott;Philodendron;Araceae;28131
642;304;79;Philodendron pedatum (Hook.) Kunth;Philodendron;Araceae;28143
643;304;79;Philodendron placidum Schott;Philodendron;Araceae;28154
644;304;79;Philodendron rudgeanum Schott;Philodendron;Araceae;28203
645;304;79;Philodendron solimoesense A.C.Sm.;Philodendron;Araceae;28225
646;304;79;Philodendron squamiferum Poepp.;Philodendron;Araceae;28235
647;310;88;Rapatea paludosa Aubl.;Rapatea;Rapateaceae;283776
648;311;89;Rhabdodendron amazonicum (Spruce ex Benth.) Huber;Rhabdodendron;Rhabdodendraceae;284430
649;312;90;Ziziphus jujuba Mill.;Ziziphus;Rhamnaceae;285297
650;313;91;Cassipourea guianensis Aubl.;Cassipourea;Rhizophoraceae;285398
651;314;79;Syngonium podophyllum Schott;Syngonium;Araceae;28904
652;315;79;Urospatha sagittifolia (Rudge) Schott;Urospatha;Araceae;29013
653;316;92;Amaioua guianensis Aubl.;Amaioua;Rubiaceae;290677
654;317;92;Capirona decorticans Spruce;Capirona;Rubiaceae;291840
655;318;92;Carapichea ligularis (Rudge) Delprete;Carapichea;Rubiaceae;291847
656;319;92;Chimarrhis microcarpa Standl.;Chimarrhis;Rubiaceae;292093
657;319;92;Chimarrhis turbinata DC.;Chimarrhis;Rubiaceae;292096
658;320;92;Chiococca nitida Benth.;Chiococca;Rubiaceae;292111
659;321;92;Coussarea spicata Delprete;Coussarea;Rubiaceae;292732
660;322;92;Duroia aquatica (Aubl.) Bremek.;Duroia;Rubiaceae;293248
661;323;92;Faramea guianensis (Aubl.) Bremek.;Faramea;Rubiaceae;293559
662;324;92;Geophila repens (L.) I.M.Johnst.;Geophila;Rubiaceae;294700
663;325;92;Isertia spiciformis DC.;Isertia;Rubiaceae;295591
664;326;93;Hydrocotyle umbellata L.;Hydrocotyle;Araliaceae;29586
665;327;92;Kutchubaea insignis Fisch. ex DC.;Kutchubaea;Rubiaceae;296317
666;328;93;Oreopanax capitatus (Jacq.) Decne. & Planch.;Oreopanax;Araliaceae;29686
667;329;92;Mussaenda incana Wall.;Mussaenda;Rubiaceae;297360
668;330;92;Palicourea amapaensis Steyerm.;Palicourea;Rubiaceae;298602
669;330;92;Palicourea croceoides Ham.;Palicourea;Rubiaceae;298670
670;331;92;Posoqueria longiflora Aubl.;Posoqueria;Rubiaceae;299768
671;332;92;Psychotria ulviformis Steyerm.;Psychotria;Rubiaceae;301640
672;333;92;Randia armata (Sw.) DC.;Randia;Rubiaceae;301929
673;334;92;Rudgea bremekampiana Steyerm.;Rudgea;Rubiaceae;302476
674;335;92;Sabicea glabrescens Benth.;Sabicea;Rubiaceae;302787
675;335;92;Sabicea velutina Benth.;Sabicea;Rubiaceae;302866
676;336;92;Sipanea pratensis Aubl.;Sipanea;Rubiaceae;303214
677;337;93;Schefflera morototoni (Aubl.) Maguire, Steyerm. & Frodin;Schefflera;Araliaceae;30431
678;338;94;Ertela trifolia (L.) Kuntze;Ertela;Rutaceae;305648
679;339;94;Galipea trifoliata Aubl.;Galipea;Rutaceae;305773
680;340;94;Hortia excelsa Ducke;Hortia;Rutaceae;305857
681;341;94;Zanthoxylum amapaense (Albuq.) P.G.Waterman;Zanthoxylum;Rutaceae;306466
682;341;94;Zanthoxylum paulae (Albuq.) P.G. Waterman;Zanthoxylum;Rutaceae;306577
683;342;95;Saccoloma inaequale (Kunze) Mett.;Saccoloma;Saccolomataceae;306775
684;343;96;Banara guianensis Aubl.;Banara;Salicaceae;306822
685;344;96;Casearia acuminata DC.;Casearia;Salicaceae;306879
686;344;96;Casearia arborea (Rich.) Urb.;Casearia;Salicaceae;306892
687;344;96;Casearia combaymensis Tul.;Casearia;Salicaceae;306921
688;344;96;Casearia grandiflora Cambess.;Casearia;Salicaceae;306961
689;344;96;Casearia guianensis (Aubl.) Urb.;Casearia;Salicaceae;306966
